,timestamp,demand,charge,discharge,battery_e
0,2019-01-01 00:00:00,666.72,72.50000001489352,0.0,68.87500002990933
1,2019-01-01 00:15:00,665.28,71.74705855270551,2.3193161887997005e-08,137.034705630563
2,2019-01-01 00:30:00,679.68,21.398293341223148,2.2925334838385733e-08,157.36308428059053
3,2019-01-01 00:45:00,676.8,59.45358722035271,2.2868032229314623e-08,213.84399211585156
4,2019-01-01 01:00:00,681.12,20.731764673234306,2.2910314712211268e-08,233.53916853130525
5,2019-01-01 01:15:00,685.44,50.07267296106216,2.288883249844345e-08,281.1082078202186
6,2019-01-01 01:30:00,686.88,15.71267893254451,2.291350409638591e-08,296.0352527820136
7,2019-01-01 01:45:00,689.76,45.03384738416904,2.2902502686340636e-08,338.81740777286444
8,2019-01-01 02:00:00,689.76,13.551504509452784,2.2914809119407044e-08,351.6913370327216
9,2019-01-01 02:15:00,691.2,42.906119394377214,2.291008152786251e-08,392.4521504332619
10,2019-01-01 02:30:00,685.44,18.559232499242402,2.2904148503797147e-08,410.0834212834303
11,2019-01-01 02:45:00,682.56,50.88404147189066,2.2898202603842535e-08,458.423260657621
12,2019-01-01 03:00:00,685.44,19.221310421714886,2.289987535430737e-08,476.68350553414257
13,2019-01-01 03:15:00,678.24,54.581134106371174,2.28927898462091e-08,528.5355829110953
14,2019-01-01 03:30:00,682.56,22.724217787222255,2.289224700134309e-08,550.1235897848568
15,2019-01-01 03:45:00,672.48,59.75629092212701,2.2887473045914245e-08,606.8920661367833
16,2019-01-01 04:00:00,668.16,37.70906097144004,2.2869622010270418e-08,642.7156740355758
17,2019-01-01 04:15:00,666.72,64.95397119828645,2.290338853178821e-08,704.4219466498367
18,2019-01-01 04:30:00,671.04,35.39138069530189,2.2872530420206293e-08,738.0437582862953
19,2019-01-01 04:45:00,668.16,62.98278830760905,2.2894664185550557e-08,797.8774071544221
20,2019-01-01 05:00:00,676.8,30.162563585979363,2.2880748280025642e-08,826.5318425370149
21,2019-01-01 05:15:00,676.8,53.8301939811069,2.2889899034656832e-08,877.6705267949699
22,2019-01-01 05:30:00,684.0,23.475157912486026,2.289128686015582e-08,899.9719267877334
23,2019-01-01 05:45:00,682.56,47.56302063781552,2.289635665406136e-08,945.1567963695543
24,2019-01-01 06:00:00,692.64,15.342331255792056,2.290025948971355e-08,959.732011038449
25,2019-01-01 06:15:00,709.92,19.705352180717114,2.2908315244715856e-08,978.4520955860137
26,2019-01-01 06:30:00,715.68,2.2355680338047258e-08,7.200000332352152,970.8731478889835
27,2019-01-01 06:45:00,712.8,16.825352142930704,2.2897679841456428e-08,986.8572324006623
28,2019-01-01 07:00:00,721.44,2.251851203133304e-08,12.960000295294398,973.2151268480579
29,2019-01-01 07:15:00,730.08,2.667210709360819e-08,0.45464792269277954,972.7365501126646
30,2019-01-01 07:30:00,738.72,2.2543142113005102e-08,30.240000279229484,940.9049708927838
31,2019-01-01 07:45:00,738.72,2.2518643452122553e-08,9.094647934570421,931.3316572988365
32,2019-01-01 08:00:00,753.12,2.2526929016495382e-08,44.640000263180184,884.3421833589913
33,2019-01-01 08:15:00,758.88,2.2514155602562234e-08,29.25464795060041,853.5478171165871
34,2019-01-01 08:30:00,763.2,2.2513398809999865e-08,54.72000024713218,795.9478168778325
35,2019-01-01 08:45:00,761.76,2.2510510317769424e-08,32.134647966634624,762.1218716711785
36,2019-01-01 09:00:00,758.88,2.2516645647451787e-08,50.40000023109941,709.0692398703569
37,2019-01-01 09:15:00,743.04,2.2530922154111418e-08,13.414647982701071,694.9485578047045
38,2019-01-01 09:30:00,744.48,2.2532263130345193e-08,36.00000021507063,657.0538207576117
39,2019-01-01 09:45:00,738.72,2.2525042208140528e-08,9.094647998745817,647.4805070961168
40,2019-01-01 10:00:00,741.6,2.2533026623775364e-08,33.12000019902215,612.6173490132857
41,2019-01-01 10:15:00,741.6,2.2533518801933515e-08,11.974648014808212,600.0124563875229
42,2019-01-01 10:30:00,744.48,2.2530786060951505e-08,36.00000018296794,562.1177193742203
43,2019-01-01 10:45:00,747.36,2.2528935159480464e-08,17.73464803086094,543.4496688368197
44,2019-01-01 11:00:00,751.68,2.2522364190742603e-08,43.20000016690479,497.9759844719969
45,2019-01-01 11:15:00,751.68,2.2523496855155135e-08,22.054648046912227,474.76056549664156
46,2019-01-01 11:30:00,744.48,2.253080532213401e-08,36.00000015085847,436.8658285171391
47,2019-01-01 11:45:00,741.6,2.2538445569319206e-08,11.974648062993314,424.2609358406602
48,2019-01-01 12:00:00,741.6,2.253415630122595e-08,33.120000134800236,389.3977778254331
49,2019-01-01 12:15:00,740.16,2.25416935024283e-08,10.534648079066216,378.308674605723
50,2019-01-01 12:30:00,740.16,2.25361198873794e-08,31.680000118736427,344.96130608109024
51,2019-01-01 12:45:00,744.48,2.253688345125186e-08,14.8546480951337,329.3248344234094
52,2019-01-01 13:00:00,741.6,2.253537430066456e-08,33.12000010266708,294.4616764420071
53,2019-01-01 13:15:00,741.6,2.2542823038291245e-08,11.974648111217572,281.8567837147699
54,2019-01-01 13:30:00,741.6,2.2535447352012066e-08,33.120000086593755,246.9936257502876
55,2019-01-01 13:45:00,757.44,2.2521973795120604e-08,27.814648127277096,217.71504879560007
56,2019-01-01 14:00:00,756.0,2.2514897280162967e-08,47.520000070494106,167.69399611120315
57,2019-01-01 14:15:00,756.0,2.2527350148050685e-08,26.374648143362993,139.93120861327225
58,2019-01-01 14:30:00,768.96,2.2497473250023517e-08,60.48000005440005,76.26805068264255
