,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved,battery_cost
0,1.0,2097953.2800000003,1681.1599997860503,27857.02725781032,60360.60923871386,1856.1599999999971,329601.81513470766,340186.78079999995,10584.965665292286,385000
0,2.0,1914353.28,1534.2799996968156,25900.049148050653,56245.31486234609,1709.2799999999972,300676.77704612387,310981.16159999993,10304.384553876065,385000
0,3.0,2160324.0,1660.999999596282,28917.437338852822,62388.74734810819,1835.9999999999973,336851.5896841257,347562.35999999987,10710.770315874193,385000
0,4.0,2160324.0,1833.7999919212884,29129.90401028457,60953.29040474595,2008.7999999999972,343345.3714751397,353841.9119999999,10496.540524860204,385000
0,5.0,2355035.04,1937.4799988190525,28951.11732953604,62319.7154311111,2112.479999999997,372224.66060387966,382922.0783999999,10697.417796120222,385000
0,6.0,2571861.6,2209.6399986273714,26541.63002550436,59620.35759487448,2384.639999999997,525594.9132945042,545382.6479999998,19787.734705495648,385000
0,7.0,3025729.44,2523.5599995616935,25391.028395417958,60592.833225714494,2698.56,612103.6525332713,632167.3872,20063.734666728647,385000
0,8.0,2822081.7600000002,2421.319999484646,20878.531057728807,58366.34410636665,2596.3199999999983,576284.0330580682,596644.9487999999,20360.915741931647,385000
0,9.0,2504574.7199999997,2120.359999526818,27311.090521178154,60000.63680587018,2295.359999999998,508996.93254111346,528734.0735999998,19737.141058886307,385000
0,10.0,2382811.2,2195.2399953307295,30374.805552438414,63095.57770297978,2370.24,385286.7770507484,395899.9776000001,10613.200549251691,385000
0,11.0,2296152.0,1781.9599999208008,16959.379789909322,54952.16698936198,1956.9599999999978,358317.1240611931,369615.68639999995,11298.562338806863,385000
0,12.0,2536403.04,1966.2799985396296,23280.571184452754,59649.7339981024,2141.279999999998,396459.01918115566,407546.51039999997,11087.491218844312,385000
