,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved,battery_cost
0,1.0,2097953.2800000003,1661.1599995208826,26765.320010508978,65160.53713623431,1856.1599999999971,328109.10255624464,340186.78079999995,12077.678243755305,429000
0,2.0,1914353.28,1514.2799994405855,28304.22768555084,62404.06400046847,1709.2799999999972,299461.8828587316,310981.16159999993,11519.278741268325,429000
0,3.0,2160324.0,1640.9999988704385,30310.76452353014,68600.25047142942,1835.9999999999973,335498.4267857248,347562.35999999987,12063.93321427505,429000
0,4.0,2160324.0,1813.7999994833508,31778.26588376006,67552.79376851051,2008.7999999999972,342104.9233562074,353841.9119999999,11736.988643792516,429000
0,5.0,2355035.04,1917.4799990539482,34761.926448586935,70689.90361841054,2112.479999999997,371165.1413335434,382922.0783999999,11756.937066456478,429000
0,6.0,2571861.6,2189.6399997475273,30922.387228937347,67109.8106045908,2384.639999999997,523420.78293882124,545382.6479999998,21961.86506117857,429000
0,7.0,3025729.44,2503.5599904866026,30821.540301547957,68743.70799658261,2698.56,609980.0045577098,632167.3872,22187.382642290206,429000
0,8.0,2822081.7600000002,2401.319999816677,28142.981510933383,67417.25768008355,2596.3199999999983,574281.7928817864,596644.9487999999,22363.15591821354,429000
0,9.0,2504574.7199999997,2100.359995243672,31883.321519213197,67553.69913515118,2295.359999999998,506839.424088993,528734.0735999998,21894.649511006777,429000
0,10.0,2382811.2,2175.239998688689,32267.84093553209,69525.85161923218,2370.24,383970.13616346597,395899.9776000001,11929.84143653413,429000
0,11.0,2296152.0,1761.9599982466514,19431.29431120493,61526.32847118,1956.9599999999978,357057.0318954866,369615.68639999995,12558.654504513368,429000
0,12.0,2536403.04,1946.2799986266093,23869.176709752497,65448.660298630704,2141.279999999998,395054.87748353684,407546.51039999997,12491.632916463132,429000
