,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved,battery_cost
0,1.0,2097953.2800000003,1721.159996450928,25060.98867359989,48296.66409259034,1856.1599999999971,332260.242866558,340186.78079999995,7926.537933441927,297000
0,2.0,1914353.28,1574.2799998535957,20785.30282301144,43788.088541137,1709.2799999999972,303084.8994513234,310981.16159999993,7896.2621486765565,297000
0,3.0,2160324.0,1700.9999981163658,23238.537000851524,48588.366551890584,1835.9999999999973,339360.98208991374,347562.35999999987,8201.377910086128,297000
0,4.0,2160324.0,1873.7999966030332,20345.524319433498,45948.79950682419,2008.7999999999972,345607.5861021935,353841.9119999999,8234.325897806382,297000
0,5.0,2355035.04,1977.4799930570196,17603.852500088684,45811.61581279499,2112.479999999997,374349.16891704034,382922.0783999999,8572.909482959541,297000
0,6.0,2571861.6,2249.6399995679044,18254.531590689974,44927.52089717424,2384.639999999997,529967.6593519166,545382.6479999998,15414.988648083177,297000
0,7.0,3025729.44,2563.559987652017,14207.068385511071,44150.92740518891,2698.56,616327.1844346453,632167.3872,15840.202765354654,297000
0,8.0,2822081.7600000002,2461.3199978773896,10535.797795789693,42343.14677330453,2596.3199999999983,580562.4932450722,596644.9487999999,16082.4555549277,297000
0,9.0,2504574.7199999997,2160.359994452644,15075.033054501842,43367.593019669475,2295.359999999998,513108.5403135872,528734.0735999998,15625.533286412596,297000
0,10.0,2382811.2,2235.2399977896503,20268.42842065818,47108.40324066318,2370.24,387504.8807930753,395899.9776000001,8395.09680692479,297000
0,11.0,2296152.0,1821.9599996413594,11098.978246372482,41436.085604445405,1956.9599999999978,360765.96243041754,369615.68639999995,8849.72396958241,297000
0,12.0,2536403.04,2006.2799978209885,15641.219362054508,44843.601672073695,2141.279999999998,398844.3006205122,407546.51039999997,8702.209779487748,297000
