,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved,battery_cost
0,1.0,2097953.2800000003,1711.1599995087608,34432.8099327866,31069.839039899252,1856.1599999999971,335354.66699822375,340186.78079999995,4832.113801776199,319000
0,2.0,1914353.28,1585.494832887374,31876.482763527496,28753.17435398602,1709.2799999999972,306888.8387203676,310981.16159999993,4092.322879632353,319000
0,3.0,2160324.0,1693.4759989933439,34358.10187635924,31004.799366747986,1835.9999999999973,342818.96712966764,347562.35999999987,4743.392870332231,319000
0,4.0,2160324.0,1863.7999968364145,32836.683177854924,29634.189642179015,2008.7999999999972,348988.9360446732,353841.9119999999,4852.975955326692,319000
0,5.0,2355035.04,1994.8406951508937,31724.586755308672,28629.9582703901,2112.479999999997,379049.3677648229,382922.0783999999,3872.710635176976,319000
0,6.0,2571861.6,2239.639997959059,31221.53455364627,28175.27399252372,2384.639999999997,532946.1616923227,545382.6479999998,12436.486307677114,319000
0,7.0,3025729.44,2556.4872712829874,34739.108745738864,31350.6682280581,2698.56,620034.4479758429,632167.3872,12132.939224157133,319000
0,8.0,2822081.7600000002,2451.319997731112,32666.47842205879,29480.035862041736,2596.3199999999983,584226.6861320056,596644.9487999999,12418.262667994248,319000
0,9.0,2504574.7199999997,2150.3599874338984,29918.671982601,26980.352665917973,2295.359999999998,516283.55399906874,528734.0735999998,12450.519600931031,319000
0,10.0,2382811.2,2246.644998483905,33376.72640008491,30115.477771396436,2370.24,391832.4975666347,395899.9776000001,4067.4800333654275,319000
0,11.0,2296152.0,1818.1099999704957,28719.92065341423,25917.968069474162,1956.9599999999978,364934.13123484,369615.68639999995,4681.5551651599235,319000
0,12.0,2536403.04,1996.2799940210457,31606.469328753446,28523.847347775372,2141.279999999998,402677.951040252,407546.51039999997,4868.559359747975,319000
