,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved,battery_cost
0,1.0,2097953.2800000003,1731.1599997844312,22899.52335809502,44561.35120651032,1856.1599999999971,332828.2431718723,340186.78079999995,7358.537628127669,275000
0,2.0,1914353.28,1584.2799997425918,18504.520176885053,40171.88100714552,1709.2799999999972,303621.90468271193,310981.16159999993,7359.256917288003,275000
0,3.0,2160324.0,1710.9999983386772,20549.691216089115,44508.197259956774,1835.9999999999973,339905.25415392476,347562.35999999987,7657.105846075108,275000
0,4.0,2160324.0,1883.7999976140545,17222.44986473556,41774.07813004041,2008.7999999999972,346107.70023880515,353841.9119999999,7734.211761194747,275000
0,5.0,2355035.04,1987.4799997083649,14772.471156187077,41670.89902879871,2112.479999999997,374882.78276596253,382922.0783999999,8039.295634037349,275000
0,6.0,2571861.6,2259.639999543804,16129.112208733342,41230.43232937364,2384.639999999997,531056.9763439435,545382.6479999998,14325.671656056307,275000
0,7.0,3025729.44,2573.5599869980983,11617.884101168225,40127.993180444224,2698.56,617398.5718690258,632167.3872,14768.815330974176,275000
0,8.0,2822081.7600000002,2471.3199996548155,8444.575532560322,38572.87679023963,2596.3199999999983,581665.7696059529,596644.9487999999,14979.179194047,275000
0,9.0,2504574.7199999997,2170.359997229616,12212.861697616145,39307.58438168604,2295.359999999998,514149.2594058919,528734.0735999998,14584.814194107894,275000
0,10.0,2382811.2,2245.2399874544526,17203.311432606726,42861.02092889567,2370.24,388021.9749095773,395899.9776000001,7878.002690422814,275000
0,11.0,2296152.0,1831.9599998012086,9649.922255650363,38060.29306415867,1956.9599999999978,361379.83818766975,369615.68639999995,8235.848212330195,275000
0,12.0,2536403.04,2016.2799994839554,13079.869247909866,40845.94425755567,2141.279999999998,399394.420629993,407546.51039999997,8152.089770006947,275000
