,month,demand,max_peak_battery,charge,discharge,max_peak_baseline,operating_cost_battery,operating_cost_baseline,cost_saved,battery_cost
0,1.0,2097953.2800000003,1711.1599957088788,26307.622069590947,51577.41186498113,1856.1599999999971,331632.40797065996,340186.78079999995,8554.37282933999,319000
0,2.0,1914353.28,1564.2799991868676,22829.21521241101,47281.85054028542,1709.2799999999972,302533.0189778271,310981.16159999993,8448.142622172832,319000
0,3.0,2160324.0,1690.9999976094591,24974.908218878772,52188.11242542056,1835.9999999999973,338755.34336627735,347562.35999999987,8807.016633722524,319000
0,4.0,2160324.0,1863.7999966146294,23451.250085869426,50143.0942896668,2008.7999999999972,345102.6721304819,353841.9119999999,8739.239869517973,319000
0,5.0,2355035.04,1967.4799960980727,20198.556422430862,49820.55988973562,2112.479999999997,373801.91780745436,382922.0783999999,9120.160592545522,319000
0,6.0,2571861.6,2239.6399995191528,20412.923619379755,48650.043865818036,2384.639999999997,528879.322325408,545382.6479999998,16503.32567459182,319000
0,7.0,3025729.44,2553.559981985994,16678.21700829161,48099.651445776464,2698.56,615250.0991288874,632167.3872,16917.28807111259,319000
0,8.0,2822081.7600000002,2451.319996928728,12803.446801644774,46197.648350686526,2596.3199999999983,579471.2023268171,596644.9487999999,17173.746473182808,319000
0,9.0,2504574.7199999997,2150.3599924898267,18171.09112370806,47536.27892612478,2295.359999999998,512084.0985210355,528734.0735999998,16649.975078964257,319000
0,10.0,2382811.2,2225.2399985609622,23410.729882422667,51405.75382345951,2370.24,386991.3244353706,395899.9776000001,8908.653164629475,319000
0,11.0,2296152.0,1811.9599993902516,12279.728281732714,44662.93921106537,1956.9599999999978,360136.5689570285,369615.68639999995,9479.117442971445,319000
0,12.0,2536403.04,1996.2799977393713,18399.25631340903,48960.33349451204,2141.279999999998,398304.2702843054,407546.51039999997,9242.240115694585,319000
