"","interval","data","forecast"
"139",2018-01-02 10:30:00,790.56,NA
"140",2018-01-02 10:45:00,793.44,NA
"141",2018-01-02 11:00:00,799.2,NA
"142",2018-01-02 11:15:00,794.88,NA
"143",2018-01-02 11:30:00,796.32,NA
"144",2018-01-02 11:45:00,792,NA
"145",2018-01-02 12:00:00,792,NA
"146",2018-01-02 12:15:00,796.32,NA
"147",2018-01-02 12:30:00,796.32,NA
"148",2018-01-02 12:45:00,793.44,NA
"149",2018-01-02 13:00:00,789.12,NA
"150",2018-01-02 13:15:00,789.12,NA
"151",2018-01-02 13:30:00,787.68,NA
"152",2018-01-02 13:45:00,793.44,NA
"153",2018-01-02 14:00:00,793.44,NA
"154",2018-01-02 14:15:00,792,NA
"155",2018-01-02 14:30:00,794.88,NA
"156",2018-01-02 14:45:00,790.56,NA
"157",2018-01-02 15:00:00,799.2,NA
"158",2018-01-02 15:15:00,792,NA
"159",2018-01-02 15:30:00,796.32,NA
"160",2018-01-02 15:45:00,797.76,NA
"161",2018-01-02 16:00:00,799.2,NA
"162",2018-01-02 16:15:00,800.64,NA
"163",2018-01-02 16:30:00,799.2,NA
"164",2018-01-02 16:45:00,797.76,NA
"165",2018-01-02 17:00:00,799.2,NA
"166",2018-01-02 17:15:00,802.08,NA
"167",2018-01-02 17:30:00,799.2,NA
"168",2018-01-02 17:45:00,797.76,NA
"169",2018-01-02 18:00:00,802.08,NA
"170",2018-01-02 18:15:00,794.88,NA
"171",2018-01-02 18:30:00,792,NA
"172",2018-01-02 18:45:00,789.12,NA
"173",2018-01-02 19:00:00,764.64,NA
"174",2018-01-02 19:15:00,757.44,NA
"175",2018-01-02 19:30:00,758.88,NA
"176",2018-01-02 19:45:00,756,NA
"177",2018-01-02 20:00:00,753.12,NA
"178",2018-01-02 20:15:00,745.92,NA
"179",2018-01-02 20:30:00,750.24,NA
"180",2018-01-02 20:45:00,748.8,NA
"181",2018-01-02 21:00:00,745.92,NA
"182",2018-01-02 21:15:00,743.04,NA
"183",2018-01-02 21:30:00,743.04,NA
"184",2018-01-02 21:45:00,741.6,NA
"185",2018-01-02 22:00:00,741.6,NA
"186",2018-01-02 22:15:00,738.72,NA
"187",2018-01-02 22:30:00,750.24,NA
"188",2018-01-02 22:45:00,743.04,NA
"189",2018-01-02 23:00:00,750.24,NA
"190",2018-01-02 23:15:00,738.72,NA
"191",2018-01-02 23:30:00,738.72,NA
"192",2018-01-02 23:45:00,743.04,NA
"193",2018-01-03 00:00:00,745.92,NA
"194",2018-01-03 00:15:00,743.04,NA
"195",2018-01-03 00:30:00,745.92,NA
"196",2018-01-03 00:45:00,744.48,NA
"197",2018-01-03 01:00:00,741.6,NA
"198",2018-01-03 01:15:00,734.4,NA
"199",2018-01-03 01:30:00,735.84,NA
"200",2018-01-03 01:45:00,734.4,NA
"201",2018-01-03 02:00:00,738.72,NA
"202",2018-01-03 02:15:00,737.28,NA
"203",2018-01-03 02:30:00,732.96,NA
"204",2018-01-03 02:45:00,735.84,NA
"205",2018-01-03 03:00:00,735.84,NA
"206",2018-01-03 03:15:00,731.52,NA
"207",2018-01-03 03:30:00,732.96,NA
"208",2018-01-03 03:45:00,728.64,NA
"209",2018-01-03 04:00:00,730.08,NA
"210",2018-01-03 04:15:00,731.52,NA
"211",2018-01-03 04:30:00,731.52,NA
"212",2018-01-03 04:45:00,727.2,NA
"213",2018-01-03 05:00:00,737.28,NA
"214",2018-01-03 05:15:00,741.6,NA
"215",2018-01-03 05:30:00,743.04,NA
"216",2018-01-03 05:45:00,741.6,NA
"217",2018-01-03 06:00:00,751.68,NA
"218",2018-01-03 06:15:00,753.12,NA
"219",2018-01-03 06:30:00,747.36,NA
"220",2018-01-03 06:45:00,748.8,NA
"221",2018-01-03 07:00:00,761.76,NA
"222",2018-01-03 07:15:00,771.84,NA
"223",2018-01-03 07:30:00,774.72,NA
"224",2018-01-03 07:45:00,783.36,NA
"225",2018-01-03 08:00:00,780.48,NA
"226",2018-01-03 08:15:00,784.8,NA
"227",2018-01-03 08:30:00,790.56,NA
"228",2018-01-03 08:45:00,794.88,NA
"229",2018-01-03 09:00:00,799.2,NA
"230",2018-01-03 09:15:00,797.76,NA
"231",2018-01-03 09:30:00,783.36,NA
"232",2018-01-03 09:45:00,787.68,NA
"233",2018-01-03 10:00:00,786.24,NA
"234",2018-01-03 10:15:00,786.24,NA
"235",2018-01-03 10:30:00,790.56,NA
"236",2018-01-03 10:45:00,794.88,NA
"237",2018-01-03 11:00:00,792,NA
"238",2018-01-03 11:15:00,789.12,NA
"239",2018-01-03 11:30:00,800.64,NA
"240",2018-01-03 11:45:00,819.36,NA
"241",2018-01-03 12:00:00,812.16,NA
