Date,TotalDemand [kWh],Period01 [kWh],Period02 [kWh],Period03 [kWh],Period04 [kWh],Period05 [kWh],Period06 [kWh],Period07 [kWh],Period08 [kWh],Period09 [kWh],Period10 [kWh],Period11 [kWh],Period12 [kWh],Period13 [kWh],Period14 [kWh],Period15 [kWh],Period16 [kWh],Period17 [kWh],Period18 [kWh],Period19 [kWh],Period20 [kWh],Period21 [kWh],Period22 [kWh],Period23 [kWh],Period24 [kWh],Period25 [kWh],Period26 [kWh],Period27 [kWh],Period28 [kWh],Period29 [kWh],Period30 [kWh],Period31 [kWh],Period32 [kWh],Period33 [kWh],Period34 [kWh],Period35 [kWh],Period36 [kWh],Period37 [kWh],Period38 [kWh],Period39 [kWh],Period40 [kWh],Period41 [kWh],Period42 [kWh],Period43 [kWh],Period44 [kWh],Period45 [kWh],Period46 [kWh],Period47 [kWh],Period48 [kWh],Period49 [kWh],Period50 [kWh],Period51 [kWh],Period52 [kWh],Period53 [kWh],Period54 [kWh],Period55 [kWh],Period56 [kWh],Period57 [kWh],Period58 [kWh],Period59 [kWh],Period60 [kWh],Period61 [kWh],Period62 [kWh],Period63 [kWh],Period64 [kWh],Period65 [kWh],Period66 [kWh],Period67 [kWh],Period68 [kWh],Period69 [kWh],Period70 [kWh],Period71 [kWh],Period72 [kWh],Period73 [kWh],Period74 [kWh],Period75 [kWh],Period76 [kWh],Period77 [kWh],Period78 [kWh],Period79 [kWh],Period80 [kWh],Period81 [kWh],Period82 [kWh],Period83 [kWh],Period84 [kWh],Period85 [kWh],Period86 [kWh],Period87 [kWh],Period88 [kWh],Period89 [kWh],Period90 [kWh],Period91 [kWh],Period92 [kWh],Period93 [kWh],Period94 [kWh],Period95 [kWh],Period96 [kWh]
01-Jan-2018,72686.88,734.4,731.52,727.2,735.84,730.08,728.64,731.52,730.08,730.08,732.96,724.32,732.96,731.52,730.08,734.4,734.4,731.52,734.4,730.08,732.96,743.04,735.84,735.84,745.92,738.72,747.36,750.24,747.36,767.52,771.84,763.2,771.84,768.96,768.96,770.4,770.4,770.4,773.28,768.96,784.8,787.68,787.68,790.56,793.44,787.68,794.88,794.88,787.68,792,789.12,781.92,794.88,789.12,784.8,793.44,784.8,784.8,780.48,779.04,774.72,773.28,777.6,777.6,771.84,771.84,774.72,781.92,781.92,774.72,768.96,771.84,770.4,773.28,768.96,779.04,773.28,758.88,747.36,745.92,734.4,740.16,732.96,735.84,734.4,730.08,730.08,740.16,741.6,734.4,735.84,735.84,730.08,725.76,731.52,728.64,724.32
02-Jan-2018,73594.08,728.64,727.2,728.64,727.2,732.96,734.4,734.4,737.28,738.72,734.4,731.52,727.2,722.88,721.44,731.52,731.52,727.2,722.88,725.76,724.32,730.08,734.4,728.64,743.04,768.96,771.84,768.96,773.28,776.16,783.36,781.92,783.36,783.36,777.6,780.48,783.36,784.8,787.68,793.44,794.88,794.88,793.44,790.56,793.44,799.2,794.88,796.32,792,792,796.32,796.32,793.44,789.12,789.12,787.68,793.44,793.44,792,794.88,790.56,799.2,792,796.32,797.76,799.2,800.64,799.2,797.76,799.2,802.08,799.2,797.76,802.08,794.88,792,789.12,764.64,757.44,758.88,756,753.12,745.92,750.24,748.8,745.92,743.04,743.04,741.6,741.6,738.72,750.24,743.04,750.24,738.72,738.72,743.04
03-Jan-2018,73440,745.92,743.04,745.92,744.48,741.6,734.4,735.84,734.4,738.72,737.28,732.96,735.84,735.84,731.52,732.96,728.64,730.08,731.52,731.52,727.2,737.28,741.6,743.04,741.6,751.68,753.12,747.36,748.8,761.76,771.84,774.72,783.36,780.48,784.8,790.56,794.88,799.2,797.76,783.36,787.68,786.24,786.24,790.56,794.88,792,789.12,800.64,819.36,812.16,816.48,815.04,807.84,802.08,804.96,806.4,807.84,806.4,806.4,804.96,807.84,796.32,802.08,803.52,796.32,792,796.32,797.76,793.44,796.32,792,797.76,787.68,781.92,777.6,786.24,774.72,751.68,741.6,743.04,740.16,738.72,730.08,728.64,732.96,728.64,724.32,734.4,732.96,721.44,714.24,721.44,725.76,727.2,724.32,731.52,722.88
04-Jan-2018,73967.04,718.56,718.56,724.32,727.2,720,724.32,725.76,720,715.68,712.8,714.24,712.8,714.24,718.56,721.44,709.92,708.48,704.16,709.92,717.12,720,720,721.44,721.44,730.08,731.52,738.72,743.04,758.88,774.72,780.48,787.68,799.2,802.08,793.44,800.64,809.28,815.04,820.8,822.24,817.92,816.48,820.8,819.36,816.48,822.24,822.24,830.88,828,823.68,817.92,815.04,816.48,817.92,816.48,813.6,816.48,817.92,820.8,813.6,810.72,815.04,807.84,806.4,804.96,803.52,803.52,809.28,809.28,812.16,804.96,804.96,803.52,803.52,804.96,794.88,766.08,764.64,763.2,756,754.56,751.68,753.12,747.36,743.04,751.68,747.36,744.48,735.84,734.4,741.6,743.04,738.72,741.6,740.16,735.84
05-Jan-2018,74625.12,745.92,743.04,744.48,741.6,737.28,743.04,747.36,748.8,740.16,737.28,735.84,735.84,728.64,730.08,731.52,731.52,722.88,732.96,734.4,738.72,751.68,754.56,750.24,754.56,753.12,754.56,763.2,761.76,774.72,781.92,774.72,776.16,774.72,768.96,776.16,781.92,793.44,804.96,813.6,820.8,826.56,823.68,829.44,830.88,835.2,836.64,835.2,833.76,836.64,836.64,835.2,833.76,833.76,836.64,780.48,753.12,724.32,698.4,691.2,685.44,756,817.92,820.8,822.24,825.12,828,832.32,829.44,830.88,832.32,825.12,820.8,815.04,810.72,812.16,804.96,789.12,771.84,774.72,777.6,774.72,777.6,770.4,766.08,764.64,768.96,767.52,768.96,760.32,758.88,756,756,753.12,754.56,750.24,745.92
06-Jan-2018,74571.84,753.12,758.88,758.88,763.2,761.76,764.64,757.44,758.88,760.32,758.88,758.88,753.12,750.24,741.6,743.04,750.24,748.8,750.24,748.8,750.24,763.2,764.64,763.2,764.64,770.4,776.16,773.28,777.6,784.8,789.12,783.36,786.24,777.6,779.04,779.04,779.04,773.28,766.08,763.2,768.96,773.28,786.24,787.68,790.56,787.68,789.12,787.68,790.56,792,792,794.88,790.56,799.2,792,796.32,793.44,789.12,797.76,797.76,792,799.2,794.88,806.4,796.32,793.44,797.76,802.08,802.08,804.96,806.4,802.08,806.4,800.64,803.52,800.64,797.76,776.16,767.52,773.28,768.96,774.72,779.04,779.04,770.4,767.52,763.2,766.08,763.2,764.64,767.52,770.4,770.4,763.2,758.88,760.32,758.88
07-Jan-2018,74848.32,760.32,760.32,768.96,767.52,766.08,753.12,751.68,760.32,764.64,763.2,766.08,760.32,761.76,764.64,760.32,758.88,758.88,757.44,760.32,758.88,771.84,776.16,771.84,766.08,777.6,786.24,780.48,783.36,789.12,796.32,800.64,800.64,799.2,790.56,790.56,792,786.24,789.12,790.56,793.44,790.56,793.44,789.12,792,787.68,783.36,783.36,786.24,790.56,792,790.56,789.12,790.56,793.44,789.12,796.32,796.32,803.52,807.84,802.08,807.84,813.6,809.28,810.72,817.92,809.28,804.96,807.84,807.84,802.08,793.44,793.44,799.2,802.08,792,790.56,770.4,758.88,763.2,767.52,768.96,761.76,767.52,760.32,754.56,753.12,748.8,753.12,753.12,750.24,753.12,764.64,764.64,756,754.56,758.88
08-Jan-2018,77287.68,756,758.88,757.44,761.76,756,753.12,747.36,756,754.56,750.24,745.92,751.68,743.04,743.04,734.4,743.04,741.6,743.04,738.72,753.12,757.44,754.56,750.24,756,760.32,764.64,758.88,758.88,780.48,793.44,807.84,826.56,836.64,832.32,843.84,856.8,930.24,907.2,912.96,897.12,891.36,905.76,911.52,931.68,930.24,941.76,947.52,953.28,951.84,953.28,944.64,900,843.84,859.68,836.64,830.88,846.72,842.4,845.28,838.08,838.08,842.4,836.64,842.4,839.52,832.32,843.84,838.08,836.64,835.2,826.56,822.24,786.24,781.92,780.48,777.6,773.28,757.44,757.44,757.44,747.36,745.92,741.6,745.92,743.04,745.92,744.48,738.72,741.6,741.6,747.36,753.12,747.36,743.04,740.16,732.96
09-Jan-2018,74789.28,734.4,731.52,731.52,730.08,725.76,730.08,725.76,732.96,728.64,731.52,721.44,718.56,722.88,715.68,715.68,715.68,720,720,711.36,712.8,714.24,721.44,724.32,721.44,750.24,750.24,747.36,751.68,776.16,797.76,794.88,793.44,797.76,800.64,796.32,806.4,819.36,826.56,823.68,828,830.88,839.52,825.12,826.56,819.36,820.8,823.68,823.68,826.56,822.24,823.68,822.24,823.68,822.24,817.92,819.36,825.12,816.48,815.04,819.36,820.8,817.92,832.32,830.88,806.4,845.28,840.96,823.68,846.72,851.04,849.6,835.2,796.32,789.12,792,793.44,784.8,770.4,771.84,768.96,764.64,761.76,761.76,758.88,756,753.12,751.68,747.36,748.8,743.04,744.48,751.68,745.92,754.56,750.24,745.92
10-Jan-2018,72751.68,744.48,743.04,741.6,745.92,745.92,748.8,743.04,734.4,734.4,737.28,732.96,734.4,730.08,731.52,738.72,751.68,741.6,738.72,737.28,741.6,738.72,747.36,756,753.12,754.56,757.44,761.76,780.48,794.88,792,662.4,701.28,758.88,767.52,761.76,789.12,781.92,783.36,789.12,796.32,806.4,804.96,807.84,803.52,800.64,799.2,800.64,806.4,800.64,796.32,796.32,800.64,797.76,797.76,803.52,800.64,803.52,800.64,800.64,790.56,783.36,787.68,787.68,786.24,794.88,786.24,793.44,789.12,793.44,787.68,783.36,767.52,751.68,745.92,747.36,748.8,738.72,732.96,725.76,724.32,721.44,717.12,714.24,711.36,708.48,709.92,705.6,711.36,711.36,711.36,711.36,705.6,702.72,708.48,701.28,699.84
11-Jan-2018,72727.2,695.52,695.52,701.28,698.4,698.4,698.4,695.52,691.2,692.64,694.08,695.52,696.96,689.76,684,684,681.12,684,686.88,685.44,694.08,689.76,688.32,692.64,691.2,701.28,705.6,699.84,708.48,718.56,722.88,730.08,735.84,741.6,745.92,754.56,757.44,767.52,767.52,773.28,780.48,780.48,786.24,784.8,796.32,783.36,789.12,783.36,799.2,794.88,794.88,794.88,796.32,793.44,828,871.2,866.88,848.16,845.28,842.4,704.16,764.64,833.76,846.72,843.84,840.96,833.76,828,829.44,838.08,833.76,829.44,822.24,816.48,815.04,807.84,804.96,784.8,748.8,757.44,758.88,761.76,758.88,756,754.56,753.12,750.24,748.8,747.36,747.36,745.92,748.8,750.24,743.04,741.6,744.48,737.28
12-Jan-2018,69688.8,732.96,745.92,743.04,744.48,743.04,743.04,735.84,728.64,722.88,727.2,731.52,747.36,747.36,745.92,743.04,737.28,730.08,734.4,727.2,718.56,684,699.84,720,721.44,744.48,757.44,753.12,756,764.64,760.32,751.68,737.28,744.48,743.04,743.04,748.8,758.88,780.48,790.56,750.24,751.68,757.44,750.24,750.24,750.24,760.32,756,758.88,761.76,760.32,663.84,663.84,669.6,671.04,692.64,740.16,823.68,819.36,809.28,779.04,776.16,768.96,771.84,771.84,745.92,767.52,793.44,789.12,786.24,763.2,753.12,735.84,728.64,721.44,721.44,717.12,699.84,689.76,682.56,676.8,673.92,668.16,656.64,652.32,649.44,648,646.56,645.12,637.92,632.16,629.28,630.72,629.28,630.72,632.16,636.48
13-Jan-2018,68351.04,637.92,646.56,635.04,635.04,633.6,630.72,636.48,636.48,633.6,627.84,620.64,617.76,616.32,617.76,610.56,613.44,610.56,614.88,616.32,616.32,617.76,619.2,623.52,620.64,616.32,601.92,622.08,617.76,649.44,717.12,735.84,727.2,745.92,714.24,712.8,688.32,695.52,708.48,717.12,727.2,732.96,734.4,737.28,744.48,743.04,738.72,735.84,748.8,756,760.32,753.12,754.56,750.24,753.12,750.24,748.8,748.8,747.36,748.8,748.8,756,757.44,758.88,760.32,756,757.44,771.84,776.16,790.56,789.12,780.48,780.48,780.48,774.72,753.12,776.16,773.28,756,747.36,754.56,763.2,776.16,768.96,745.92,757.44,777.6,779.04,750.24,764.64,734.4,756,751.68,732.96,745.92,747.36,727.2
14-Jan-2018,73128.96,737.28,727.2,731.52,743.04,741.6,737.28,737.28,754.56,730.08,734.4,744.48,737.28,730.08,734.4,727.2,754.56,714.24,735.84,727.2,744.48,738.72,732.96,751.68,748.8,740.16,740.16,751.68,751.68,757.44,770.4,768.96,779.04,780.48,737.28,753.12,763.2,757.44,750.24,753.12,757.44,766.08,764.64,756,763.2,773.28,760.32,761.76,770.4,763.2,767.52,758.88,773.28,784.8,774.72,777.6,789.12,794.88,779.04,777.6,781.92,786.24,779.04,777.6,786.24,786.24,780.48,784.8,807.84,799.2,797.76,800.64,806.4,796.32,796.32,797.76,802.08,789.12,781.92,779.04,779.04,771.84,766.08,756,761.76,754.56,743.04,774.72,767.52,743.04,760.32,748.8,753.12,751.68,730.08,751.68,734.4
15-Jan-2018,74512.8,731.52,730.08,727.2,735.84,735.84,728.64,728.64,735.84,740.16,734.4,728.64,734.4,760.32,743.04,728.64,724.32,730.08,725.76,709.92,715.68,731.52,734.4,751.68,730.08,748.8,750.24,740.16,747.36,744.48,776.16,761.76,757.44,780.48,763.2,754.56,766.08,784.8,774.72,776.16,768.96,796.32,786.24,790.56,783.36,830.88,833.76,830.88,830.88,830.88,838.08,826.56,786.24,822.24,830.88,829.44,826.56,829.44,829.44,835.2,836.64,829.44,825.12,820.8,826.56,825.12,820.8,830.88,828,829.44,839.52,822.24,813.6,793.44,799.2,792,786.24,781.92,773.28,777.6,766.08,760.32,756,756,767.52,758.88,760.32,761.76,764.64,760.32,748.8,748.8,753.12,766.08,770.4,766.08,756
16-Jan-2018,75198.24,761.76,754.56,754.56,757.44,761.76,763.2,754.56,753.12,758.88,761.76,754.56,750.24,741.6,745.92,747.36,751.68,757.44,738.72,751.68,738.72,737.28,748.8,761.76,761.76,796.32,784.8,784.8,797.76,819.36,820.8,823.68,823.68,840.96,840.96,832.32,842.4,840.96,838.08,843.84,852.48,846.72,829.44,838.08,836.64,839.52,845.28,846.72,839.52,839.52,836.64,839.52,830.88,832.32,839.52,830.88,820.8,813.6,807.84,812.16,776.16,761.76,776.16,796.32,812.16,812.16,804.96,815.04,813.6,817.92,822.24,817.92,804.96,781.92,787.68,774.72,777.6,761.76,738.72,740.16,741.6,734.4,741.6,741.6,734.4,724.32,722.88,717.12,720,717.12,717.12,717.12,720,721.44,725.76,715.68,714.24
17-Jan-2018,72820.8,720,712.8,712.8,712.8,714.24,714.24,714.24,711.36,699.84,698.4,707.04,702.72,699.84,695.52,685.44,686.88,686.88,685.44,684,688.32,679.68,686.88,704.16,714.24,714.24,714.24,704.16,701.28,722.88,737.28,743.04,756,774.72,784.8,781.92,763.2,766.08,792,787.68,797.76,810.72,817.92,819.36,817.92,825.12,816.48,809.28,832.32,825.12,825.12,830.88,810.72,810.72,812.16,812.16,820.8,815.04,812.16,816.48,810.72,817.92,809.28,819.36,819.36,828,828,826.56,829.44,836.64,823.68,777.6,780.48,780.48,758.88,761.76,766.08,760.32,747.36,738.72,743.04,741.6,743.04,740.16,745.92,745.92,740.16,735.84,735.84,725.76,727.2,734.4,737.28,735.84,727.2,721.44,720
18-Jan-2018,72731.52,724.32,727.2,727.2,727.2,721.44,721.44,730.08,725.76,728.64,721.44,718.56,714.24,714.24,721.44,721.44,725.76,724.32,721.44,728.64,724.32,722.88,732.96,728.64,730.08,734.4,727.2,734.4,750.24,764.64,768.96,773.28,784.8,760.32,757.44,757.44,780.48,790.56,792,790.56,794.88,794.88,792,784.8,789.12,796.32,797.76,794.88,796.32,790.56,794.88,802.08,792,797.76,797.76,780.48,777.6,781.92,783.36,779.04,793.44,789.12,784.8,786.24,777.6,781.92,774.72,787.68,799.2,799.2,797.76,790.56,780.48,779.04,767.52,768.96,773.28,763.2,744.48,751.68,748.8,741.6,744.48,738.72,734.4,738.72,727.2,731.52,740.16,738.72,727.2,727.2,727.2,738.72,727.2,722.88,717.12
19-Jan-2018,72874.08,732.96,732.96,731.52,731.52,731.52,731.52,731.52,735.84,743.04,745.92,727.2,732.96,722.88,731.52,715.68,722.88,717.12,728.64,722.88,722.88,714.24,718.56,735.84,745.92,753.12,738.72,735.84,753.12,763.2,768.96,758.88,760.32,770.4,779.04,779.04,792,790.56,794.88,794.88,797.76,806.4,802.08,804.96,810.72,804.96,806.4,807.84,806.4,815.04,806.4,802.08,784.8,789.12,792,793.44,800.64,800.64,800.64,800.64,797.76,784.8,784.8,790.56,793.44,794.88,786.24,790.56,792,790.56,796.32,792,776.16,771.84,768.96,771.84,767.52,758.88,737.28,730.08,734.4,744.48,734.4,730.08,728.64,714.24,715.68,711.36,718.56,717.12,714.24,709.92,705.6,702.72,714.24,718.56,709.92
20-Jan-2018,67564.8,708.48,705.6,711.36,709.92,708.48,704.16,704.16,699.84,696.96,695.52,691.2,689.76,685.44,694.08,695.52,708.48,724.32,705.6,695.52,695.52,698.4,702.72,702.72,698.4,708.48,696.96,694.08,709.92,695.52,715.68,709.92,725.76,728.64,718.56,715.68,714.24,712.8,722.88,722.88,718.56,725.76,724.32,724.32,727.2,731.52,743.04,734.4,738.72,737.28,743.04,738.72,730.08,720,711.36,717.12,715.68,720,721.44,724.32,705.6,705.6,709.92,709.92,725.76,714.24,707.04,712.8,714.24,714.24,691.2,681.12,704.16,704.16,702.72,695.52,684,675.36,665.28,676.8,681.12,679.68,655.2,671.04,678.24,682.56,676.8,678.24,682.56,685.44,699.84,678.24,675.36,666.72,668.16,668.16,666.72
21-Jan-2018,66427.2,658.08,658.08,659.52,663.84,681.12,681.12,675.36,668.16,666.72,656.64,660.96,668.16,668.16,669.6,666.72,662.4,655.2,659.52,658.08,669.6,659.52,665.28,662.4,663.84,660.96,662.4,666.72,684,695.52,701.28,692.64,692.64,684,679.68,682.56,684,686.88,689.76,695.52,699.84,704.16,695.52,689.76,691.2,688.32,694.08,696.96,704.16,702.72,701.28,701.28,698.4,707.04,712.8,709.92,704.16,718.56,714.24,715.68,720,722.88,731.52,715.68,707.04,711.36,718.56,730.08,730.08,714.24,709.92,704.16,711.36,722.88,727.2,714.24,707.04,709.92,705.6,696.96,698.4,699.84,692.64,688.32,691.2,698.4,701.28,709.92,708.48,696.96,696.96,699.84,699.84,695.52,694.08,695.52,682.56
22-Jan-2018,67908.96,659.52,652.32,658.08,665.28,676.8,682.56,673.92,669.6,665.28,662.4,671.04,662.4,658.08,648,648,646.56,640.8,650.88,648,646.56,627.84,642.24,652.32,653.76,686.88,689.76,675.36,678.24,699.84,704.16,708.48,699.84,701.28,688.32,675.36,673.92,686.88,734.4,724.32,735.84,734.4,727.2,732.96,734.4,741.6,743.04,730.08,727.2,728.64,728.64,727.2,720,725.76,730.08,731.52,735.84,731.52,724.32,727.2,730.08,728.64,734.4,771.84,774.72,773.28,770.4,766.08,768.96,771.84,764.64,764.64,756,730.08,730.08,734.4,743.04,734.4,722.88,718.56,715.68,714.24,728.64,724.32,717.12,724.32,727.2,720,711.36,704.16,705.6,711.36,711.36,702.72,698.4,701.28,695.52
23-Jan-2018,72396,695.52,702.72,698.4,698.4,702.72,707.04,708.48,702.72,701.28,701.28,701.28,699.84,696.96,689.76,689.76,692.64,696.96,695.52,694.08,695.52,696.96,702.72,718.56,728.64,758.88,761.76,748.8,760.32,779.04,768.96,771.84,770.4,780.48,793.44,912.96,826.56,794.88,793.44,819.36,828,832.32,836.64,829.44,822.24,825.12,833.76,804.96,789.12,780.48,784.8,800.64,797.76,766.08,773.28,781.92,777.6,777.6,787.68,774.72,780.48,786.24,789.12,780.48,784.8,781.92,771.84,770.4,773.28,780.48,774.72,767.52,763.2,770.4,761.76,763.2,754.56,751.68,747.36,744.48,741.6,734.4,731.52,738.72,734.4,734.4,730.08,728.64,722.88,722.88,720,722.88,718.56,711.36,741.6,727.2,673.92
24-Jan-2018,67361.76,673.92,668.16,666.72,665.28,660.96,658.08,660.96,662.4,659.52,653.76,663.84,665.28,653.76,652.32,649.44,652.32,652.32,653.76,650.88,653.76,656.64,665.28,663.84,663.84,665.28,662.4,636.48,675.36,692.64,701.28,708.48,709.92,717.12,715.68,724.32,734.4,738.72,737.28,721.44,724.32,721.44,724.32,722.88,717.12,717.12,717.12,722.88,717.12,714.24,717.12,715.68,717.12,720,712.8,707.04,711.36,724.32,722.88,720,724.32,732.96,737.28,735.84,727.2,735.84,754.56,757.44,753.12,767.52,768.96,766.08,757.44,738.72,734.4,738.72,732.96,721.44,711.36,712.8,711.36,702.72,696.96,691.2,688.32,694.08,694.08,699.84,692.64,685.44,678.24,692.64,708.48,701.28,696.96,694.08,689.76
25-Jan-2018,70450.56,696.96,689.76,695.52,668.16,681.12,688.32,672.48,681.12,688.32,686.88,682.56,682.56,669.6,673.92,676.8,688.32,668.16,679.68,678.24,679.68,668.16,681.12,663.84,681.12,696.96,698.4,696.96,715.68,720,756,768.96,766.08,766.08,766.08,761.76,754.56,789.12,796.32,771.84,784.8,780.48,780.48,777.6,777.6,783.36,780.48,774.72,767.52,768.96,761.76,760.32,767.52,768.96,784.8,786.24,780.48,779.04,774.72,781.92,781.92,777.6,771.84,771.84,770.4,771.84,760.32,803.52,803.52,812.16,813.6,815.04,797.76,767.52,763.2,696.96,656.64,745.92,741.6,741.6,743.04,732.96,728.64,724.32,730.08,731.52,734.4,731.52,732.96,721.44,712.8,659.52,601.92,635.04,695.52,701.28,699.84
26-Jan-2018,71020.8,702.72,695.52,702.72,709.92,712.8,708.48,718.56,722.88,718.56,715.68,717.12,712.8,705.6,712.8,708.48,708.48,704.16,704.16,695.52,696.96,691.2,708.48,717.12,717.12,728.64,712.8,708.48,732.96,761.76,754.56,758.88,761.76,771.84,770.4,767.52,774.72,776.16,777.6,777.6,777.6,771.84,766.08,777.6,783.36,787.68,796.32,793.44,796.32,793.44,787.68,790.56,789.12,783.36,777.6,779.04,784.8,780.48,786.24,783.36,787.68,790.56,779.04,784.8,779.04,777.6,781.92,784.8,781.92,780.48,777.6,781.92,767.52,747.36,743.04,743.04,743.04,728.64,720,714.24,709.92,709.92,705.6,701.28,696.96,705.6,699.84,691.2,691.2,682.56,679.68,678.24,676.8,665.28,665.28,666.72,671.04
27-Jan-2018,69940.8,696.96,691.2,698.4,701.28,699.84,695.52,699.84,694.08,686.88,688.32,694.08,688.32,691.2,689.76,701.28,702.72,701.28,699.84,688.32,684,685.44,682.56,682.56,682.56,689.76,688.32,691.2,707.04,704.16,708.48,711.36,721.44,712.8,709.92,707.04,704.16,705.6,702.72,705.6,707.04,711.36,708.48,712.8,715.68,720,731.52,724.32,722.88,718.56,721.44,728.64,731.52,747.36,735.84,732.96,740.16,738.72,744.48,740.16,744.48,741.6,740.16,744.48,753.12,753.12,754.56,751.68,757.44,766.08,826.56,838.08,817.92,806.4,796.32,793.44,794.88,787.68,774.72,783.36,784.8,776.16,779.04,773.28,766.08,768.96,770.4,771.84,770.4,737.28,717.12,720,717.12,708.48,708.48,711.36,704.16
28-Jan-2018,70414.56,712.8,722.88,725.76,730.08,718.56,705.6,702.72,708.48,711.36,709.92,705.6,709.92,705.6,698.4,704.16,702.72,694.08,695.52,698.4,702.72,695.52,694.08,699.84,699.84,712.8,715.68,709.92,724.32,724.32,732.96,734.4,732.96,730.08,725.76,725.76,727.2,725.76,727.2,730.08,740.16,745.92,744.48,750.24,750.24,754.56,743.04,743.04,748.8,757.44,760.32,753.12,758.88,763.2,758.88,760.32,767.52,766.08,766.08,757.44,758.88,764.64,763.2,764.64,761.76,761.76,756,751.68,763.2,763.2,760.32,761.76,757.44,756,758.88,760.32,747.36,753.12,750.24,745.92,741.6,743.04,740.16,734.4,728.64,728.64,722.88,724.32,718.56,717.12,718.56,725.76,721.44,717.12,714.24,717.12,717.12
29-Jan-2018,66633.12,665.28,663.84,679.68,688.32,681.12,673.92,665.28,653.76,650.88,640.8,639.36,646.56,630.72,629.28,627.84,627.84,627.84,633.6,629.28,626.4,629.28,635.04,652.32,655.2,672.48,663.84,659.52,665.28,681.12,702.72,702.72,709.92,718.56,722.88,727.2,727.2,730.08,738.72,722.88,745.92,751.68,751.68,753.12,758.88,756,731.52,734.4,734.4,740.16,734.4,732.96,732.96,734.4,725.76,699.84,735.84,725.76,747.36,753.12,751.68,745.92,751.68,747.36,741.6,738.72,738.72,735.84,738.72,735.84,732.96,734.4,724.32,705.6,702.72,704.16,701.28,694.08,688.32,681.12,675.36,673.92,673.92,668.16,666.72,669.6,663.84,662.4,662.4,660.96,653.76,662.4,655.2,653.76,650.88,652.32,653.76
30-Jan-2018,68868,662.4,658.08,666.72,655.2,649.44,650.88,662.4,652.32,649.44,653.76,655.2,652.32,652.32,653.76,658.08,655.2,655.2,648,650.88,649.44,655.2,665.28,665.28,666.72,673.92,694.08,691.2,698.4,709.92,705.6,702.72,695.52,718.56,712.8,732.96,743.04,724.32,763.2,756,744.48,763.2,757.44,737.28,763.2,761.76,770.4,770.4,763.2,766.08,764.64,764.64,773.28,770.4,763.2,763.2,767.52,767.52,768.96,763.2,767.52,764.64,761.76,764.64,770.4,779.04,774.72,774.72,741.6,771.84,760.32,756,761.76,738.72,745.92,745.92,747.36,738.72,731.52,731.52,709.92,717.12,717.12,722.88,722.88,708.48,705.6,708.48,689.76,694.08,694.08,695.52,708.48,708.48,705.6,699.84,701.28
31-Jan-2018,70212.96,701.28,701.28,686.88,699.84,705.6,701.28,689.76,686.88,684,682.56,684,685.44,686.88,689.76,682.56,669.6,669.6,668.16,665.28,665.28,666.72,685.44,699.84,696.96,712.8,699.84,692.64,708.48,728.64,734.4,756,689.76,685.44,698.4,707.04,695.52,722.88,741.6,750.24,756,764.64,753.12,767.52,754.56,754.56,764.64,760.32,744.48,756,748.8,764.64,781.92,786.24,789.12,793.44,789.12,786.24,786.24,779.04,773.28,777.6,770.4,770.4,771.84,768.96,776.16,771.84,771.84,776.16,783.36,784.8,774.72,766.08,763.2,766.08,764.64,758.88,745.92,744.48,741.6,734.4,734.4,731.52,725.76,722.88,727.2,725.76,724.32,721.44,718.56,714.24,714.24,711.36,705.6,708.48,711.36
01-Feb-2018,69730.56,709.92,711.36,715.68,712.8,717.12,711.36,707.04,702.72,699.84,702.72,695.52,701.28,707.04,707.04,696.96,691.2,692.64,692.64,694.08,695.52,695.52,696.96,711.36,707.04,714.24,709.92,724.32,735.84,744.48,748.8,758.88,748.8,750.24,741.6,744.48,754.56,764.64,768.96,763.2,757.44,767.52,763.2,768.96,763.2,766.08,767.52,767.52,767.52,761.76,764.64,760.32,756,764.64,763.2,761.76,768.96,763.2,763.2,758.88,761.76,756,753.12,753.12,753.12,753.12,753.12,751.68,756,748.8,748.8,745.92,740.16,738.72,734.4,727.2,722.88,718.56,707.04,705.6,696.96,696.96,696.96,691.2,689.76,681.12,682.56,678.24,681.12,681.12,682.56,675.36,676.8,669.6,662.4,666.72,668.16
02-Feb-2018,71275.68,669.6,671.04,669.6,669.6,675.36,668.16,656.64,658.08,660.96,660.96,662.4,653.76,656.64,652.32,652.32,652.32,656.64,653.76,655.2,662.4,655.2,649.44,676.8,685.44,684,681.12,696.96,715.68,738.72,747.36,747.36,753.12,753.12,754.56,756,748.8,763.2,767.52,758.88,779.04,760.32,774.72,773.28,776.16,774.72,773.28,779.04,764.64,734.4,771.84,793.44,790.56,777.6,794.88,787.68,804.96,794.88,803.52,812.16,817.92,810.72,803.52,807.84,813.6,813.6,816.48,812.16,816.48,807.84,807.84,799.2,797.76,792,789.12,789.12,786.24,779.04,768.96,764.64,763.2,763.2,761.76,753.12,754.56,754.56,753.12,745.92,748.8,750.24,743.04,740.16,741.6,735.84,730.08,728.64,741.6
