"","x"
"142",802.506165257827
"143",795.027598167257
"144",798.218086148875
"145",795.173532689053
"146",793.259005017337
"147",793.608472754212
"148",792.696932361005
"149",792.953562418867
"150",786.904447193078
"151",790.350142950725
"152",787.66006516172
"153",795.16861312081
"154",795.738022613898
"155",789.456459484754
"156",802.840091122496
"157",799.37243318692
"158",790.416086638148
"159",786.926746802827
"160",801.225873848205
"161",797.774719152355
"162",801.694143004128
"163",799.958203328969
"164",802.7781009214
"165",795.20501146931
"166",799.291612435491
"167",798.345321355318
"168",797.131143640069
"169",793.221220391732
"170",798.830719005692
"171",789.494229985035
"172",790.362643240773
"173",787.256348787486
"174",768.676411509629
"175",758.134309904686
"176",752.143000785415
"177",755.74681050179
"178",751.137881372519
"179",747.820840432277
"180",743.545576819413
"181",748.575060489797
"182",750.6127054621
"183",742.242811298213
"184",743.088623351842
"185",741.717031404473
"186",739.582135442086
"187",738.297396443596
"188",747.733458697114
"189",741.341112052011
"190",747.200302611778
"191",746.643681204644
"192",735.514894735425
"193",737.150845798552
"194",743.369756034841
"195",744.348118572239
"196",747.888765759513
"197",741.750468021589
"198",743.859605351537
"199",735.300200678866
"200",734.928491669894
"201",736.366729375276
"202",738.382153490247
"203",736.675815707015
"204",731.015897624155
"205",736.582439301593
"206",734.45752388015
"207",729.649714966815
"208",734.911286672253
"209",724.47645263972
"210",732.15821734198
"211",733.514116360816
"212",730.230986282428
"213",725.82573452565
"214",732.614099596324
"215",746.574382734851
"216",744.459147671887
"217",740.854790342413
"218",756.460285601369
"219",756.152359275482
"220",748.161942099205
"221",751.910080242208
"222",766.593876311853
"223",771.602776153218
"224",780.985317777765
"225",781.640907167117
"226",780.950639616542
"227",785.50426018995
"228",793.870099431523
"229",794.850288575882
"230",797.744174037137
"231",797.515543584789
"232",783.835876263883
"233",787.347872603802
"234",783.689173951735
"235",786.432959455389
"236",788.099399362417
"237",797.858976830435
"238",793.273243531915
"239",783.109072399053
"240",809.227287762048
"241",814.85936372357
"242",816.170637724289
"243",814.599828571761
"244",813.592787317394
"245",804.067926136779
"246",806.463902974282
"247",800.167406240215
"248",815.82129026874
"249",805.897447069437
"250",804.454902722892
"251",807.941508622985
"252",803.147278393974
"253",809.872928527327
"254",796.898704241479
"255",799.881873016754
"256",797.55600560037
"257",801.20578236368
"258",787.685530733002
"259",800.852341406703
"260",801.464302555355
"261",788.18855540337
"262",789.389278193201
"263",803.484461637883
"264",796.208125621609
"265",783.861203715993
"266",781.024810142516
"267",779.510922508888
"268",780.98478657564
"269",767.781789597334
"270",750.133535921148
"271",741.156152174563
"272",744.737191048239
"273",744.726495114059
"274",736.334070975994
"275",730.305729246159
"276",731.01634431899
"277",730.914562510749
"278",728.737989757778
"279",724.583173579963
"280",732.737291795393
"281",727.080549635885
"282",720.075704742748
"283",716.921815081913
"284",719.513521604236
"285",723.507321160482
"286",720.448488482036
"287",725.754516401078
"288",729.908844568093
"289",727.221752682818
"290",722.240254688007
"291",714.712558736079
"292",723.863320074179
"293",725.66381439522
"294",718.542924926827
"295",723.248529532853
"296",725.181448762264
"297",718.241519050206
"298",712.521153585651
"299",714.471591617392
"300",712.173601810835
"301",711.84366857712
"302",713.186149271356
"303",718.95115915495
"304",720.156860698911
"305",705.71869838416
"306",708.600822644415
"307",705.53335073979
"308",716.275819982545
"309",714.250159246678
"310",718.019984360086
"311",720.88376992764
"312",722.576215924934
"313",716.444957341105
"314",725.440651035719
"315",732.661373769598
"316",740.292517219569
"317",746.654118206323
"318",762.442336344612
"319",776.307212318652
"320",781.479794664515
"321",790.786504148129
"322",797.875803225907
"323",802.638416981134
"324",797.372755808066
"325",798.511870563371
"326",810.44053104117
"327",817.782059882548
"328",821.865521259326
"329",821.694503960659
"330",823.354868656105
"331",816.267851904642
"332",821.170325718192
"333",818.122769070415
"334",820.878755338507
"335",819.224863007677
"336",822.009391038484
"337",831.290771841382
"338",831.092864984854
"339",821.962504946484
"340",818.234326655515
"341",817.694505562551
"342",817.887018116219
"343",820.659030677234
"344",811.810844982638
"345",817.502843808657
"346",818.039217644053
"347",817.038447137559
"348",820.134102801323
"349",812.705460003605
"350",811.442259396479
"351",815.601847388285
"352",806.026648420426
"353",803.663727761723
"354",800.902619848147
"355",804.365150873627
"356",804.471105857943
"357",807.658416327538
"358",809.762277858375
"359",815.939477419888
"360",806.288355756357
"361",809.192446590747
"362",802.732599771146
"363",797.591666407913
"364",803.74570013121
"365",794.566038616206
"366",763.83182410879
"367",766.016947382007
"368",757.748909761006
"369",759.166551989974
"370",754.848529526402
"371",749.517263841392
"372",752.964359425653
"373",748.649672108592
"374",742.888939347899
"375",747.731689068875
"376",746.059848972534
"377",742.560152231512
"378",732.941294540931
"379",737.085327798595
"380",741.273142644518
"381",741.218145658045
"382",737.729141019222
"383",739.412547711187
"384",737.976030994007
"385",734.406971812287
"386",749.839388916701
"387",742.629172511457
"388",741.424660964189
"389",740.102888450047
"390",738.647553385482
"391",744.820283485729
"392",749.248441605408
"393",746.104330649904
"394",735.26294272618
"395",738.12951692014
"396",734.001035327664
"397",737.52322537371
"398",728.252782806697
"399",737.92640379224
"400",731.92589239605
"401",729.027333671782
"402",725.068948993715
"403",730.199589118793
"404",737.555943985487
"405",737.408720423345
"406",753.878332063863
"407",754.722113533
"408",745.56185328249
"409",755.008772494389
"410",752.070139855308
"411",754.596269969447
"412",760.709053658568
"413",767.276641490904
"414",774.48595070484
"415",782.461692254579
"416",774.265324728923
"417",776.721319244381
"418",775.261018696591
"419",766.845720571769
"420",777.581008254872
"421",781.597835303935
"422",795.710602633885
"423",806.542204529273
"424",813.574195696889
"425",822.632808250402
"426",827.662779509256
"427",824.594483435943
"428",826.017382573454
"429",832.993907235339
"430",832.767605869649
"431",839.781804417785
"432",830.678896879348
"433",833.053521291042
"434",840.501418372199
"435",835.407727337694
"436",834.222085218942
"437",829.922559045365
"438",834.443530689054
"439",827.05979522788
"440",778.561989803245
"441",750.167752065473
"442",719.590414142415
"443",694.212536391306
"444",691.974991286912
"445",695.287053980124
"446",763.736185809402
"447",820.233301791203
"448",822.785756095499
"449",821.646453133976
"450",825.519938758909
"451",828.778826263986
"452",831.067625229526
"453",830.200014519433
"454",833.850117323779
"455",839.012725378335
"456",819.62581507556
"457",817.740554302485
"458",812.456077976953
"459",812.458738177067
"460",811.063656174919
"461",804.617699089349
"462",785.534601614452
"463",772.966231867218
"464",774.06046908521
"465",783.546812820934
"466",774.542056234686
"467",773.701573610856
"468",771.22758918885
"469",769.004769906094
"470",764.421420815981
"471",765.694246579643
"472",765.158552604598
"473",769.364819571892
"474",763.973214752819
"475",752.962230217062
"476",761.700586827584
"477",756.002270481844
"478",754.344836516409
"479",757.728441912509
"480",747.41591046797
"481",746.14837284095
"482",752.586926020212
"483",759.776242527889
"484",762.414696842656
"485",772.732662214074
"486",763.623604261504
"487",763.705104420381
"488",758.025260602467
"489",760.084750676579
"490",759.401826196196
"491",758.095983922686
"492",758.957331228631
"493",748.945021272984
"494",743.82208807053
"495",743.47855300945
"496",744.858113260318
"497",749.985275254698
"498",749.651424945478
"499",750.704001781209
"500",745.078418078498
"501",751.313787684382
"502",762.027334711542
"503",763.69533529004
"504",763.036305269879
"505",762.825468939799
"506",767.972499432621
"507",775.229045724616
"508",775.270332162924
"509",781.831225458102
"510",785.678213915568
"511",795.958714341314
"512",787.67353455262
"513",777.409953776507
"514",787.510471738319
"515",777.738816299605
"516",772.543739297535
"517",780.682733888283
"518",772.936350546036
"519",765.86678686736
"520",762.817918505294
"521",765.324650591851
"522",779.849120776552
"523",785.016918532235
"524",788.640045801833
"525",785.833134362858
"526",787.659164923235
"527",791.641087196168
"528",787.069956108027
"529",789.906585377949
"530",789.730612534916
"531",798.547660886622
"532",782.486144680252
"533",789.199868354917
"534",798.932052354886
"535",794.915873638452
"536",792.986705663962
"537",793.220972712234
"538",796.648478401364
"539",796.216332126901
"540",793.73050677364
"541",790.986166030322
"542",799.301208729404
"543",796.501353316609
"544",803.782681632071
"545",794.756477233449
"546",794.197792552959
"547",798.075027571605
"548",800.680437461384
"549",795.579902175374
"550",793.925083784901
"551",807.995818347862
"552",803.128572700552
"553",808.436728396742
"554",804.392844430849
"555",802.231425892098
"556",798.629082729565
"557",799.718761656456
"558",771.813730739171
"559",767.977261312741
"560",771.570071750164
"561",770.97261878616
"562",774.915012585243
"563",785.086764176621
"564",771.796527373694
"565",771.229106095396
"566",764.73959095783
"567",763.360506583718
"568",763.502691204255
"569",761.104721913803
"570",763.97450823538
"571",768.95269833698
"572",771.096209941298
"573",766.76025751209
"574",762.180573672073
"575",761.097669583241
"576",759.112010417161
"577",764.64042474869
"578",761.003722612481
"579",760.993837988881
"580",770.011593298734
"581",771.709973874504
"582",766.52770319907
"583",757.699807015874
"584",751.787693297922
"585",763.890276143331
"586",766.68578226998
"587",761.3882883755
"588",769.259701952332
"589",761.190366402281
"590",761.479213995471
"591",767.198344345978
"592",757.320004358299
"593",761.834348973886
"594",758.381799990509
"595",757.464688815463
"596",759.751924546037
"597",759.6391629147
"598",771.12664740869
"599",774.772854748148
"600",769.652456426032
"601",766.824884214272
"602",781.173780711002
"603",784.54804624445
"604",780.859147916133
